               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  39,            0.028216,           0.0097621,                   0,             0.99998,                   1,               0.995,              0.8454,            0.013875,           0.0028899,                   0,           0.0071406,           0.0071406,            0.035241
                  40,            0.029681,           0.0088746,                   0,                   1,                   1,               0.995,             0.84548,            0.012121,           0.0031253,                   0,           0.0073167,           0.0073167,            0.033617
                  41,            0.029961,           0.0089198,                   0,             0.99996,                   1,               0.995,             0.83904,            0.013669,           0.0029397,                   0,           0.0074926,           0.0074926,            0.031993
                  42,            0.032657,           0.0091503,                   0,             0.99996,                   1,               0.995,             0.82093,            0.012445,           0.0032144,                   0,           0.0076684,           0.0076684,            0.030368
                  43,            0.031661,           0.0092099,                   0,             0.99998,                   1,               0.995,             0.84414,            0.013191,           0.0031007,                   0,           0.0078439,           0.0078439,            0.028744
                  44,            0.028688,           0.0090435,                   0,             0.99998,                   1,               0.995,             0.86224,            0.014534,           0.0028404,                   0,           0.0080192,           0.0080192,            0.027119
                  45,             0.02723,           0.0085886,                   0,             0.99995,                   1,               0.995,             0.84318,            0.011475,           0.0028157,                   0,           0.0081944,           0.0081944,            0.025494
                  46,            0.034294,           0.0089453,                   0,             0.99997,                   1,               0.995,             0.69558,            0.015189,           0.0031387,                   0,           0.0083693,           0.0083693,            0.023869
                  47,            0.029906,           0.0096209,                   0,             0.99959,             0.92593,             0.98914,             0.76303,            0.015652,             0.00297,                   0,           0.0085439,           0.0085439,            0.022244
                  48,            0.031404,           0.0087261,                   0,             0.99994,                   1,               0.995,             0.84669,            0.018818,           0.0029113,                   0,           0.0087184,           0.0087184,            0.020618
                  49,            0.029435,           0.0089396,                   0,                   1,                   1,               0.995,             0.85049,            0.011488,           0.0030129,                   0,           0.0088926,           0.0088926,            0.018993
                  50,            0.028923,           0.0087791,                   0,             0.93056,                   1,             0.98741,             0.78823,            0.013483,           0.0029711,                   0,           0.0090665,           0.0090665,            0.017367
                  51,            0.031328,            0.008984,                   0,                   1,             0.99996,               0.995,             0.81206,            0.015889,           0.0031779,                   0,           0.0092403,           0.0092403,             0.01574
                  52,            0.029104,           0.0090913,                   0,                   1,                   1,               0.995,             0.71368,             0.01396,           0.0033355,                   0,           0.0094137,           0.0094137,            0.014114
                  53,            0.030727,           0.0089797,                   0,             0.99997,                   1,               0.995,             0.80947,            0.013465,            0.002996,                   0,            0.009587,            0.009587,            0.012487
                  54,            0.031734,           0.0090189,                   0,             0.99997,                   1,               0.995,             0.80822,             0.01255,           0.0028743,                   0,           0.0097599,           0.0097599,             0.01086
                  55,            0.028186,            0.009165,                   0,             0.99997,                   1,               0.995,             0.78482,            0.011685,           0.0026756,                   0,           0.0098636,           0.0098636,           0.0098636
                  56,            0.031442,           0.0089612,                   0,                   1,             0.99999,               0.995,             0.83319,            0.012785,            0.002707,                   0,           0.0098636,           0.0098636,           0.0098636
                  57,             0.02754,           0.0088178,                   0,             0.99998,                   1,               0.995,             0.76282,            0.015965,           0.0027748,                   0,           0.0098586,           0.0098586,           0.0098586
                  58,            0.029119,           0.0086642,                   0,             0.99996,                   1,               0.995,             0.79314,            0.011981,           0.0026607,                   0,           0.0098536,           0.0098536,           0.0098536
                  59,            0.028819,           0.0090609,                   0,             0.99996,                   1,               0.995,             0.79019,            0.014596,           0.0026844,                   0,           0.0098484,           0.0098484,           0.0098484
                  60,            0.026029,           0.0082995,                   0,             0.99994,                   1,               0.995,             0.80787,            0.011546,           0.0026635,                   0,           0.0098432,           0.0098432,           0.0098432
                  61,            0.025305,           0.0082563,                   0,             0.99996,                   1,               0.995,             0.81084,            0.011379,           0.0027914,                   0,           0.0098378,           0.0098378,           0.0098378
